<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LRHC.US,D,20240515,000000,1120,1120,1008,1040,43.486200000000004,0
LRHC.US,D,20240516,000000,1040,1127.92,952,960,214.94299999999998,0
LRHC.US,D,20240517,000000,992,1119.92,912,1024,95.08250000000001,0
LRHC.US,D,20240520,000000,992,1024,944,1000,29.1087,0
LRHC.US,D,20240521,000000,1000,1120,992,1072,78.7487,0
LRHC.US,D,20240522,000000,1088,1088,967.28,1032,22.75,0
LRHC.US,D,20240523,000000,984,1005.28,968.64,975.84,6.1925,0
LRHC.US,D,20240524,000000,976,1040,968,968,18.975,0
LRHC.US,D,20240528,000000,944,992,848,848,35.4412,0
LRHC.US,D,20240529,000000,848,904,808,880,61.415,0
LRHC.US,D,20240530,000000,896,896,808,824,43.6037,0
LRHC.US,D,20240531,000000,816,856,816,848,16.268700000000003,0
LRHC.US,D,20240603,000000,832,1136,832,992,248.98600000000002,0
LRHC.US,D,20240604,000000,1080,1120,944,1000,110.902,0
LRHC.US,D,20240605,000000,992,1000,904,952,59.129999999999995,0
LRHC.US,D,20240606,000000,888,936,856,896,42.876200000000004,0
LRHC.US,D,20240607,000000,880,912,798.4,904,57.7062,0
LRHC.US,D,20240610,000000,880,904,880,896,14.421199999999999,0
LRHC.US,D,20240611,000000,880,920,855.2,904.8,37.6312,0
LRHC.US,D,20240612,000000,720,792,640.8,648,187.976,0
LRHC.US,D,20240613,000000,628.56,648,488.96,488.96,171.09500000000003,0
LRHC.US,D,20240614,000000,474.32,1448,418.48,936,50753,0
LRHC.US,D,20240617,000000,769.68,880,728.16,832,2105.19,0
LRHC.US,D,20240618,000000,832,2336,808,1432,66122.6,0
LRHC.US,D,20240620,000000,1152,1440,1024,1264,2384.05,0
LRHC.US,D,20240621,000000,1264,1351.44,1120,1128,2453.1400000000003,0
LRHC.US,D,20240624,000000,1152,1416,1120,1200,940.68,0
LRHC.US,D,20240625,000000,1992,2688,1336,1408,86302.1,0
LRHC.US,D,20240626,000000,1360,1720,1352.08,1720,3941.05,0
LRHC.US,D,20240627,000000,1720,1880,1664,1760,1441.03,0
LRHC.US,D,20240628,000000,1792,1920,1680,1688,582.795,0
LRHC.US,D,20240701,000000,1600,1639.36,1440,1472,423.2060000000001,0
LRHC.US,D,20240702,000000,1560,1680,1488,1544,566.073,0
LRHC.US,D,20240703,000000,1552,1556,1440,1488,209.413,0
LRHC.US,D,20240705,000000,1464,1536,1376,1376,209.35100000000003,0
LRHC.US,D,20240708,000000,1376,1408,1232,1272,499.85100000000006,0
LRHC.US,D,20240709,000000,1280,1328,1240,1256,156.80100000000002,0
LRHC.US,D,20240710,000000,1248,1380,1248,1312,249.46500000000003,0
LRHC.US,D,20240711,000000,1312,1376,1256,1264,159.66500000000002,0
LRHC.US,D,20240712,000000,1272,1344,1264,1336,119.97200000000001,0
LRHC.US,D,20240715,000000,1296,1304,1200,1232,221.285,0
LRHC.US,D,20240716,000000,1256,1264,1200,1256,120.203,0
LRHC.US,D,20240717,000000,1224,1416,1224,1296,982.473,0
LRHC.US,D,20240718,000000,1272,1312,1224.08,1272,110.457,0
LRHC.US,D,20240719,000000,1264,1268.48,1208,1232,104.298,0
LRHC.US,D,20240722,000000,1224,1232,1162.48,1176,133.423,0
LRHC.US,D,20240723,000000,1160,1203.2,1120,1144,108.831,0
LRHC.US,D,20240724,000000,1192,1200,1088,1128,196.173,0
LRHC.US,D,20240725,000000,1096,1135.12,1048,1064,137.591,0
